Scenario,groups,iF1,iF2,iF3,iF4,iF5,iF6,iF7,iF8,iF9,iF10,iF11,iF12,iF13,iF14,iF15,iF16,iF17,iF18,iF19
S1_F0.4,jF1,0,2.08E-05,4.44E-05,-0.000202288,-0.000143896,-6.00E-05,-7.47E-05,-9.39E-05,8.32E-06,1.36E-05,1.12E-05,2.06E-05,9.56E-07,2.55E-05,-0.000162423,-7.25E-05,-6.19E-05,-6.22E-05,4.22E-06
S1_F0.4,jF2,-2.08E-05,0,0.007452754,-1.70E-05,3.03E-06,-1.50E-05,-2.13E-06,-6.43E-06,-1.61E-05,-1.26E-05,-0.000442145,-1.53E-05,-0.00027986,-9.98E-07,-0.000196061,-0.000221163,-0.000460591,-0.000562366,-0.00016642
S1_F0.4,jF3,-4.44E-05,-0.007452754,0,-0.001977822,-0.001493569,-0.001039734,-0.0008575,-0.000252302,-0.000397625,-0.000277652,-0.000546237,-0.000133151,-0.000190037,-6.38E-05,-8.98E-05,-0.000231932,-0.000305317,-0.000325659,-0.000176335
S1_F0.4,jF4,0.000202288,1.70E-05,0.001977822,0,9.23E-05,-0.000657981,-0.000540914,-0.000350248,-0.000275409,-0.00028739,-0.000422552,-9.13E-05,-0.000180248,-2.12E-05,-6.61E-05,-0.000233653,-0.000295501,-0.000315488,-0.000149589
S1_F0.4,jF5,0.000143896,-3.03E-06,0.001493569,-9.23E-05,0,-0.000535837,-0.00051518,-0.000615399,-0.000334785,-0.000290562,-0.000265989,-5.48E-05,-0.000235371,-0.000118929,-0.000117972,-0.000263814,-0.000329618,-0.000308485,-0.000195417
S1_F0.4,jF6,6.00E-05,1.50E-05,0.001039734,0.000657981,0.000535837,0,0.00017822,-3.89E-05,-0.000191018,-0.000110863,-0.000172169,-0.000233681,-0.000112954,-7.73E-05,-6.88E-05,-0.000232739,-0.000377188,-0.0004343,-0.000146867
S1_F0.4,jF7,7.47E-05,2.13E-06,0.0008575,0.000540914,0.00051518,-0.00017822,0,-6.69E-06,-1.77E-05,-6.11E-06,-0.000115652,-2.39E-05,-0.000104006,-0.000300026,-0.000208866,-0.00024335,-0.000399402,-0.000514136,-0.000154104
S1_F0.4,jF8,9.39E-05,6.43E-06,0.000252302,0.000350248,0.000615399,3.89E-05,6.69E-06,0,-2.06E-08,8.51E-06,4.05E-06,-3.33E-06,2.49E-05,-9.92E-05,-0.000105579,-0.000206927,-0.00048178,-0.000854403,-0.000120405
S1_F0.4,jF9,-8.32E-06,1.61E-05,0.000397625,0.000275409,0.000334785,0.000191018,1.77E-05,2.06E-08,0,0.000468094,7.92E-05,-4.21E-06,-1.64E-05,-7.04E-05,-9.17E-05,-0.000238897,-0.00044791,-0.000450703,-0.000153313
S1_F0.4,jF10,-1.36E-05,1.26E-05,0.000277652,0.00028739,0.000290562,0.000110863,6.11E-06,-8.51E-06,-0.000468094,0,3.50E-05,-1.94E-05,-1.07E-05,-5.99E-05,-8.21E-05,-0.000265062,-0.000408611,-0.000521513,-0.000188226
